topic_id	topic_name	have_child	followers
19550560	tryagain	429
19550429	电影	1	7068258
19552192	健身	1	5022864
19551137	美食	1	5210063
19550517	互联网	1	4479173
19551556	旅行	1	5718704
19551557	设计	1	4018542
19551052	时尚	1	4505199
19551432	心理学	1	5653768
19612645	设计	1	4018542
19553176	tryagain	429
19551915	tryagain	429
19609455	金融	1	3136693
19555457	商业	1	3455056
19604128	医学	1	2295413
19560170	经济学	1	3559177
19553298	自然科学	1	3814682
19554825	职业发展	1	3516117
19551147	生活	1	2261324
19559947	家居	1	3148167
19554827	体育	1	2100638
19550453	音乐	1	1885433
19550564	阅读	1	2066870
19550874	法律	1	2211460
19550937	健康	1	1738450
