topic_id	is_end	followers
19776751	tryagain	
19553632	tryagain	
19778317	1	70775
19552706	1	1285247
19618774	1	15055
19778287	1	6325
19560891	1	5768
19778298	1	26664
19563502	1	1332
19555427	1	3336
19620787	tryagain	
19553713	tryagain	
19554791	1	140511
19553622	1	69535
19553376	1	1385
19554825	1	3296242
19612858	1	568
19555984	1	907
19551147	1	2209993
19570783	1	37505
19608504	tryagain	
19552062	tryagain	
19551603	tryagain	
19552131	1	22946
19612883	1	3232
19553627	1	3118
19836428	1	673
19561047	1	7689
19566933	1	104029
19878769	1	199
19551971	tryagain	
19690251	tryagain	
19672863	tryagain	
19561087	tryagain	
20011702	0	44
19649905	1	16033
19950286	0	9
19553298	1	3609322
19744646	1	4841
19778273	1	12369
19587736	tryagain	
20039967	tryagain	
19639327	tryagain	
19878531	tryagain	
19574302	1	110
20039961	0	1
19555602	1	19301
20039971	0	10
20039963	0	1
19712584	0	5209
19582856	tryagain	
19559640	1	1816
19655468	1	2243
19551409	1	27948
19606286	0	1863
19610538	1	12572
19631435	1	18947
19553123	1	30521
19594058	1	84
19573707	1	2970
19660536	tryagain	
19588437	tryagain	
19610713	tryagain	
19559052	1	670461
19597954	1	571
19608172	1	5727
19672406	1	1711
19800035	1	305
19913016	1	706
19618569	1	3956
19561990	tryagain	
20020068	0	9
20002694	0	95
20041004	0	72
20044414	0	8
19704848	1	594
19553107	1	43358
19575554	0	1049
19600560	1	812
19803931	1	25
19557542	tryagain	
19609622	0	356
19551469	1	767219
19565845	1	1778
19570158	1	464
19610783	1	342
19604348	1	7963
19598237	1	339
19616946	1	242
19569870	1	7094
19826741	tryagain	
20024792	tryagain	
20034140	0	19
20011378	0	12
19559699	1	648
19691855	1	346
19666145	1	849
19559705	1	272
19559707	0	218
19615759	0	33
19668315	tryagain	
19564288	tryagain	
19964009	tryagain	
19677437	0	20
19891256	1	69
19744856	1	744
19744734	1	1677
19612940	1	20392
19622472	1	8417
19564637	1	388
19609796	tryagain	
19732103	0	79
19571338	1	22837
19550937	1	1698413
19943649	0	336
19657938	1	1662
19551825	1	417
19562033	1	409975
20005979	0	402
19862856	1	114
19590199	tryagain	
19557876	1	131701
19564504	1	108024
19562469	1	36579
19560641	1	225115
19569848	1	278297
19551771	1	100680
19578758	1	60884
19560803	1	8434
19561726	1	4586
19556031	tryagain	
19564408	tryagain	
19794464	0	1073
19562807	1	8952
19552430	1	403799
19563902	1	3842
19691663	0	17787
19588006	1	95115
19557677	0	3485
19573247	1	10108
19561382	tryagain	
19643904	1	4
19661877	0	1233
19563277	1	399
19550434	1	480468
19552266	1	514002
19551077	1	1462631
19557401	1	7859
19550912	1	5381
19793721	1	12741
20020358	tryagain	
20043541	0	0
19668467	1	253
19670431	0	323
19556793	1	17556
19671540	1	1464
19551024	1	9710
19906254	1	2096
19774598	1	692
19580693	1	188
20021717	tryagain	
20036233	0	9
19625593	tryagain	
19735104	0	84
19697130	0	57
19833778	0	338
19680037	0	223
19562687	1	2332
19564226	0	8221
19566261	1	1759
19675215	tryagain	
19893799	0	341
19648212	0	15
19633694	1	26
19582724	0	1004
19558798	1	1019
19627913	0	30
20027644	1	28
19565146	1	7737
19681390	1	4322
19653739	tryagain	
20044766	0	15
19574708	0	1017
19691655	1	151
19645095	1	318
19570500	1	3413
19825781	0	25
20028284	1	499
19566667	1	7787
19559218	1	52391
19582963	tryagain	
20026794	0	201
19551724	1	7133
19918466	0	55
19554859	1	125466
19552978	1	4993
19551813	1	13354
19557768	1	1601
19677578	1	31
19553195	1	41006
19565023	tryagain	
19574442	0	132
19612168	0	72
19677048	0	81
19615863	1	28
19576026	1	3157
19859021	1	251
19597308	1	191
19564432	1	37
19568208	0	343
19573132	tryagain	
19688437	tryagain	
19607596	1	408
19604076	1	31
19551912	1	22194
19660827	1	146
19600042	1	58
19569427	1	18
19676719	0	3866
19674847	1	238
19649647	tryagain	
19627349	1	10
19668535	tryagain	
19844426	0	17
19633405	0	11
19828006	0	22
19608602	1	414
19778291	1	107
19647777	1	242
19591116	1	2197
19960210	tryagain	
19874380	0	72
19616677	0	236
19701679	1	99
19647124	1	4233
19812101	1	13234
